zone_name,country_code,abbreviation,time_start,gmt_offset,dst
America/Chicago,US,CST,6243030000,-21600,0
America/Chicago,US,CDT,6254524800,-18000,1
America/Chicago,US,CST,6275084400,-21600,0
America/Chicago,US,CDT,6285974400,-18000,1
America/Chicago,US,CST,6306534000,-21600,0
America/Chicago,US,CDT,6317424000,-18000,1
America/Chicago,US,CST,6337983600,-21600,0
America/Chicago,US,CDT,6348873600,-18000,1
America/Chicago,US,CST,6369433200,-21600,0
America/Chicago,US,CDT,6380323200,-18000,1
America/Chicago,US,CST,6400882800,-21600,0
America/Chicago,US,CDT,6412377600,-18000,1
America/Chicago,US,CST,6432937200,-21600,0
America/Chicago,US,CDT,6443827200,-18000,1
America/Chicago,US,CST,6464386800,-21600,0
America/Chicago,US,CDT,6475276800,-18000,1
America/Chicago,US,CST,6495836400,-21600,0
America/Chicago,US,CDT,6506726400,-18000,1
America/Chicago,US,CST,6527286000,-21600,0
America/Chicago,US,CDT,6538176000,-18000,1
America/Chicago,US,CST,6558735600,-21600,0
America/Chicago,US,CDT,6569625600,-18000,1
America/Chicago,US,CST,6590185200,-21600,0
America/Chicago,US,CDT,6601680000,-18000,1
America/Chicago,US,CST,6622239600,-21600,0
America/Chicago,US,CDT,6633129600,-18000,1
America/Chicago,US,CST,6653689200,-21600,0
America/Chicago,US,CDT,6664579200,-18000,1
America/Chicago,US,CST,6685138800,-21600,0
America/Chicago,US,CDT,6696028800,-18000,1
America/Chicago,US,CST,6716588400,-21600,0
America/Chicago,US,CDT,6727478400,-18000,1
America/Chicago,US,CST,6748038000,-21600,0
America/Chicago,US,CDT,6759532800,-18000,1
America/Chicago,US,CST,6780092400,-21600,0
America/Chicago,US,CDT,6790982400,-18000,1
America/Chicago,US,CST,6811542000,-21600,0
America/Chicago,US,CDT,6822432000,-18000,1
America/Chicago,US,CST,6842991600,-21600,0
America/Chicago,US,CDT,6853881600,-18000,1
America/Chicago,US,CST,6874441200,-21600,0
